,NGA,PolID,Time,Gauss1,Gauss2
101,Kansai,JpKofun,300,0.4787585064,0.5212414936
306,Southern China Hills,CnHQngL,1800,0.4543221755,0.5456778245
187,Middle Yellow River Valley,CnErlit,-1800,0.4412673244,0.5587326756
133,Konya Plain,TrPhryg,-800,0.4275758533,0.5724241467
102,Kansai,JpKofun,400,0.4196350595,0.5803649405
103,Kansai,JpKofun,500,0.4163135842,0.5836864158
45,Cuzco,PeWari*,700,0.3990177467,0.6009822533
75,Ghanaian Coast,GhAshnE,1600,0.3700359462,0.6299640538
245,Orkhon Valley,MnRourn,300,0.3617844539,0.6382155461
267,Paris Basin,FrTeneB,-200,0.3579886508,0.6420113492
257,Oro PNG,PgOrokL,1900,0.3544420251,0.6455579749
243,Orkhon Valley,MnXngnL,0,0.3118625406,0.6881374594
80,Iceland,NorKing,1300,0.2910840617,0.7089159383
326,Susiana,IrSusa3,-3000,0.2908188092,0.7091811908
246,Orkhon Valley,MnRourn,500,0.2900356359,0.7099643641
242,Orkhon Valley,MnXngnM,-200,0.2836045488,0.7163954512
336,Susiana,IrMElm2,-1300,0.2758368409,0.7241631591
181,Lena River Valley,RuYakuL,1700,0.2617464974,0.7382535026
85,Kachi Plain,PkUrbn1,-2500,0.2377337982,0.7622662018
332,Susiana,IrSukkL,-1700,0.2215569697,0.7784430303
331,Susiana,IrSukkE,-1800,0.2179234439,0.7820765561
72,Finger Lakes,UsIroqL,1800,0.217200778,0.782799222
244,Orkhon Valley,MnXianb,100,0.1992417239,0.8007582761
307,Southern China Hills,CnHChin,1900,0.1916025246,0.8083974754
333,Susiana,IrSukkL,-1600,0.1868024389,0.8131975611
118,Kapuasi Basin,IdBrokL,1900,0.1704270688,0.8295729312
158,Latium,ItRomER,-500,0.1624277727,0.8375722273
20,Cambodian Basin,KhFunaE,300,0.1596493218,0.8403506782
327,Susiana,IrAwanE,-2600,0.1557335467,0.8442664533
291,Sogdiana,AfTochr,0,0.1486524756,0.8513475244
159,Latium,ItRomER,-400,0.1407361373,0.8592638627
370,Upper Egypt,EgDyn2*,-2900,0.1376785609,0.8623214391
369,Upper Egypt,EgDyn1*,-3100,0.1375630536,0.8624369464
268,Paris Basin,FrTeneC,-100,0.1365653042,0.8634346958
335,Susiana,IrMElm2,-1400,0.1334751254,0.8665248746
128,Konya Plain,TrBrzL2,-1400,0.1216659137,0.8783340863
296,Sogdiana,UzSogdi,700,0.1197677294,0.8802322706
74,Garo Hills,InGaroL,1900,0.1162798973,0.8837201027
371,Upper Egypt,EgDyn2*,-2800,0.0990826369,0.9009173631
66,Deccan,InKampi,1300,0.098866441,0.901133559
32,Central Java,IdMedng,800,0.0970636111,0.9029363889
372,Upper Egypt,EgDyn2*,-2700,0.0952180574,0.9047819426
337,Susiana,IrMElm3,-1200,0.0932189639,0.9067810361
338,Susiana,IrNElm1,-900,0.0903756612,0.9096243388
330,Susiana,IrSukkE,-1900,0.0889638035,0.9110361965
126,Konya Plain,TrHatOK,-1600,0.0882603366,0.9117396634
127,Konya Plain,TrBrzL2,-1500,0.0847799295,0.9152200705
33,Central Java,IdMedng,900,0.0835590982,0.9164409018
254,Orkhon Valley,MnMongL,1600,0.077047123,0.922952877
379,Upper Egypt,EgThebH,-1700,0.0717713996,0.9282286004
21,Cambodian Basin,KhFunaL,600,0.0705288011,0.9294711989
188,Middle Yellow River Valley,CnErlig,-1600,0.0625761785,0.9374238215
385,Upper Egypt,EgThebL,-1000,0.049282869,0.950717131
194,Middle Yellow River Valley,CnJinSA,-700,0.0398665371,0.9601334629
224,Niger Inland Delta,MrWagdM,1000,0.0395361083,0.9604638917
22,Cambodian Basin,KhChenl,700,0.0390548314,0.9609451686
412,Yemeni Coastal Plain,YeQasmi,1700,0.0387545911,0.9612454089
329,Susiana,IrShima,-2000,0.0384432997,0.9615567003
195,Middle Yellow River Valley,CnWeiWS,-400,0.0382046224,0.9617953776
339,Susiana,IrNElm2,-700,0.0368974988,0.9631025012
48,Cuzco,PeInca*,1400,0.0345851355,0.9654148645
129,Konya Plain,TrHatNK,-1300,0.0310583472,0.9689416528
173,Latium,ItPapEM,1100,0.0285504578,0.9714495422
130,Konya Plain,TrHatNK,-1200,0.0280826886,0.9719173114
76,Ghanaian Coast,GhAshnL,1800,0.0279523772,0.9720476228
248,Orkhon Valley,MnTurk2,700,0.0259207874,0.9740792126
23,Cambodian Basin,KhChenl,800,0.0258163025,0.9741836975
35,Central Java,IdKedir,1200,0.0257367302,0.9742632698
230,Niger Inland Delta,MlBaman,1800,0.0256968085,0.9743031915
247,Orkhon Valley,MnETurk,600,0.0253896747,0.9746103253
376,Upper Egypt,EgMidKg,-2000,0.0233822388,0.9766177612
295,Sogdiana,KgWTurk,600,0.0233743105,0.9766256895
275,Paris Basin,FrCaptE,1100,0.0231370048,0.9768629952
249,Orkhon Valley,MnUigur,800,0.0209661543,0.9790338457
386,Upper Egypt,EgThebL,-900,0.0207531531,0.9792468469
49,Cuzco,PeInca*,1500,0.02054418,0.97945582
90,Kachi Plain,PkSind1,900,0.019912347,0.980087653
377,Upper Egypt,EgMidKg,-1900,0.0191825799,0.9808174201
190,Middle Yellow River Valley,CnWZhou,-1100,0.0189669528,0.9810330472
290,Sogdiana,AfTochr,-100,0.0186665108,0.9813334892
378,Upper Egypt,EgMidKg,-1800,0.0186003588,0.9813996412
388,Upper Egypt,EgSaite,-600,0.018596052,0.981403948
172,Latium,ItPapEM,1000,0.0183179232,0.9816820768
191,Middle Yellow River Valley,CnWZhou,-1000,0.0178500676,0.9821499324
328,Susiana,IqAkkad,-2200,0.0178453844,0.9821546156
34,Central Java,IdKedir,1100,0.0173120426,0.9826879574
374,Upper Egypt,EgOldK2,-2300,0.0172223181,0.9827776819
373,Upper Egypt,EgOldK1,-2600,0.0144294039,0.9855705961
189,Middle Yellow River Valley,CnShang,-1200,0.0139836655,0.9860163345
160,Latium,ItRomER,-300,0.0133950817,0.9866049183
91,Kachi Plain,PkSind1,1000,0.0132916927,0.9867083073
192,Middle Yellow River Valley,CnWZhou,-900,0.0127503687,0.9872496313
225,Niger Inland Delta,MrWagdL,1100,0.0125305367,0.9874694633
196,Middle Yellow River Valley,CnWeiWS,-300,0.0119595084,0.9880404916
193,Middle Yellow River Valley,CnWZhou,-800,0.0114193617,0.9885806383
387,Upper Egypt,SdKusht,-700,0.0112951166,0.9887048834
96,Kachi Plain,PkSind2,1500,0.0111839586,0.9888160414
92,Kachi Plain,PkSind1,1100,0.0103419723,0.9896580277
136,Konya Plain,TrCappL,-100,0.0103201842,0.9896798158
175,Latium,ItPapRn,1400,0.0098768125,0.9901231875
105,Kansai,JpAsuka,700,0.0097719491,0.9902280509
347,Susiana,IrElym2,100,0.0097476093,0.9902523907
37,Central Java,IdMatrm,1600,0.0092860731,0.9907139269
176,Latium,ItPapRn,1500,0.009075236,0.990924764
174,Latium,ItPapHM,1200,0.0087274674,0.9912725326
104,Kansai,JpAsuka,600,0.0086356522,0.9913643478
134,Konya Plain,TrLydia,-600,0.0084244302,0.9915755698
89,Kachi Plain,PkIndGr,-100,0.0082287275,0.9917712725
255,Orkhon Valley,MnZungh,1700,0.0081508175,0.9918491825
253,Orkhon Valley,MnMongL,1400,0.0078638548,0.9921361452
344,Susiana,IrSeleu,-200,0.0076899694,0.9923100306
95,Kachi Plain,PkSind2,1400,0.0073289065,0.9926710935
380,Upper Egypt,EgNKThu,-1500,0.0071841011,0.9928158989
59,Deccan,InKadam,500,0.0071732258,0.9928267742
271,Paris Basin,FrMervL,700,0.0070992755,0.9929007245
171,Latium,ItStPet,900,0.0067056814,0.9932943186
304,Sogdiana,UzJanid,1600,0.0065763503,0.9934236497
274,Paris Basin,FrCaptE,1000,0.0065442533,0.9934557467
168,Latium,ItRav**,600,0.0064719071,0.9935280929
270,Paris Basin,FrMervM,600,0.0064470974,0.9935529026
381,Upper Egypt,EgNKThu,-1400,0.0059440612,0.9940559388
382,Upper Egypt,EgNKThu,-1300,0.0057255131,0.9942744869
36,Central Java,IdMajap,1300,0.0057211388,0.9942788612
27,Cambodian Basin,KhAngkL,1300,0.0056029265,0.9943970735
269,Paris Basin,FrMervE,500,0.0054893585,0.9945106415
177,Latium,ItPapM1,1600,0.005303618,0.994696382
226,Niger Inland Delta,MlMali*,1300,0.0050780861,0.9949219139
227,Niger Inland Delta,MlMali*,1400,0.0050077183,0.9949922817
113,Kansai,JpSengk,1500,0.0049277347,0.9950722653
170,Latium,ItStPet,800,0.0047815985,0.9952184015
305,Sogdiana,UzJanid,1700,0.004533145,0.995466855
169,Latium,ItRav**,700,0.0043040515,0.9956959485
384,Upper Egypt,EgNKRam,-1100,0.004166934,0.995833066
135,Konya Plain,TrLysim,-300,0.0040838113,0.9959161887
65,Deccan,InHoysa,1200,0.0038895152,0.9961104848
299,Sogdiana,KgKarKh,1100,0.0038205607,0.9961794393
383,Upper Egypt,EgNKRam,-1200,0.0037818661,0.9962181339
229,Niger Inland Delta,MaSaadi,1600,0.003753649,0.996246351
111,Kansai,JpKamak,1300,0.0036175389,0.9963824611
145,Konya Plain,TrRum**,1100,0.0035110427,0.9964889573
62,Deccan,InRasht,800,0.0033049974,0.9966950026
110,Kansai,JpKamak,1200,0.0033041974,0.9966958026
63,Deccan,InRasht,900,0.0032676943,0.9967323057
228,Niger Inland Delta,MlSong2,1500,0.0031043891,0.9968956109
273,Paris Basin,FrCarlL,900,0.0029383051,0.9970616949
301,Sogdiana,UzChagt,1300,0.0026629592,0.9973370408
99,Kachi Plain,AfDurrn,1800,0.002515407,0.997484593
28,Cambodian Basin,KhCambd,1500,0.0024705819,0.9975294181
289,Sogdiana,AfGrBct,-200,0.0024405943,0.9975594057
112,Kansai,JpAshik,1400,0.0023150204,0.9976849796
106,Kansai,JpHeian,800,0.0022298276,0.9977701724
389,Upper Egypt,EgIntOc,-400,0.0022246982,0.9977753018
146,Konya Plain,TrOttm1,1400,0.0021806489,0.9978193511
108,Kansai,JpHeian,1000,0.0021426776,0.9978573224
178,Latium,ItPapM2,1700,0.0020395514,0.9979604486
107,Kansai,JpHeian,900,0.0020037447,0.9979962553
109,Kansai,JpHeian,1100,0.0019910069,0.9980089931
58,Deccan,InVakat,300,0.0019575669,0.9980424331
179,Latium,ItPapM2,1800,0.0018231267,0.9981768733
25,Cambodian Basin,KhAngkE,1000,0.0017085806,0.9982914194
54,Deccan,InSataL,-100,0.0016764595,0.9983235405
55,Deccan,InSataL,0,0.0016617258,0.9983382742
56,Deccan,InSataL,100,0.0016027286,0.9983972714
203,Middle Yellow River Valley,CnNWei*,400,0.0015980622,0.9984019378
